id,price,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,accommodates,latitude,longitude,review_scores_rating,availability_365,reviews_per_month,minimum_nights,maximum_nights,price_range
1094764,150.0,Inner Richmond,Entire rental unit,Entire home/apt,1,1,2,37.78814,-122.46547,5.0,365,0.03,30,180,100-149
38047206,160.05,Bayview,Private room in home,Private room,1,1,1,37.7298,-122.40096,4.75,0,1.26,90,1125,150-199
43475468,160.05,Mission,Entire home,Entire home/apt,2,1,5,37.75721,-122.41245,4.75,0,1.26,30,1125,150-199
648549709021440854,69.0,Excelsior,Private room in home,Private room,1,2,2,37.7267606,-122.4085215,5.0,216,0.33,30,1125,50-99
47918229,246.0,Marina,Entire rental unit,Entire home/apt,2,1,4,37.80366,-122.44518,4.75,341,1.26,31,1125,200-249
938317240177880784,328.0,Presidio Heights,Entire condo,Entire home/apt,2,2,4,37.78986,-122.45094,4.83,277,1.62,5,365,300-349
24823466,135.0,Castro/Upper Market,Private room in rental unit,Private room,1,1,2,37.766,-122.43498,5.0,172,0.1,30,75,100-149
53849558,175.0,South of Market,Entire condo,Entire home/apt,1,1,2,37.78425,-122.39254,4.86,153,0.28,30,1125,150-199
20077154,60.0,Outer Mission,Private room in home,Private room,1,1,1,37.7249,-122.43979,4.86,179,0.1,30,1125,50-99
30774802,40.0,Excelsior,Private room in guest suite,Private room,3,2,1,37.72682,-122.42159,4.85,265,0.77,30,180,0-49
415498,80.0,Pacific Heights,Entire rental unit,Entire home/apt,1,1,2,37.79395,-122.42609,4.79,259,0.21,30,1125,50-99
24491303,120.0,South of Market,Private room in rental unit,Private room,2,2,1,37.77839848781604,-122.40307632421352,4.75,365,1.26,30,300,100-149
725479609346985276,61.0,Excelsior,Private room in home,Private room,1,1,4,37.72215,-122.43442,4.75,179,1.0,30,119,50-99
3442439,125.0,Bernal Heights,Entire guest suite,Entire home/apt,1,1,2,37.73606,-122.42367,4.96,48,3.44,2,21,100-149
53747035,209.0,South of Market,Entire rental unit,Entire home/apt,1,1,2,37.78770300000001,-122.391971,4.75,341,1.26,31,1125,200-249
2802480,285.0,Marina,Entire rental unit,Entire home/apt,2,1,4,37.80101,-122.44527,4.76,173,0.34,30,180,250-299
48955947,125.0,Pacific Heights,Entire rental unit,Entire home/apt,1,1,2,37.79401,-122.42664,4.7,195,0.36,30,1125,100-149
25376401,208.0,Castro/Upper Market,Entire guest suite,Entire home/apt,1,1,2,37.75836,-122.43004,4.95,103,1.93,2,28,200-249
53835580,155.0,Financial District,Entire rental unit,Entire home/apt,0,1,2,37.79508634688912,-122.40102883936464,5.0,85,0.27,30,60,150-199
40490045,50.0,Outer Mission,Private room in home,Private room,1,1,2,37.7264,-122.43498,5.0,85,0.1,30,365,0-49
21596397,110.0,Potrero Hill,Entire guest suite,Entire home/apt,1,1,2,37.75644,-122.40096,4.88,172,3.98,2,28,100-149
934012,100.0,Inner Richmond,Entire rental unit,Entire home/apt,1,1,4,37.77596,-122.46187,4.76,263,0.63,30,180,50-99
30931569,135.0,Marina,Entire rental unit,Entire home/apt,2,2,5,37.79699,-122.4333,4.5,311,0.1,30,365,100-149
17642091,104.0,Bernal Heights,Entire guest suite,Entire home/apt,2,1,3,37.74503,-122.41992,4.92,34,3.16,2,1125,100-149
597198179407251720,120.0,Crocker Amazon,Private room in home,Private room,1,1,2,37.71071,-122.43878,4.88,278,0.72,2,28,100-149
1034109594804720712,146.0,Inner Sunset,Private room in rental unit,Private room,1,1,2,37.75402,-122.46636,4.75,243,1.26,1,365,100-149
21189031,152.0,Noe Valley,Entire guest suite,Entire home/apt,0,1,2,37.75136,-122.42559,4.84,40,0.99,2,30,150-199
801176820131952849,285.0,Pacific Heights,Entire condo,Entire home/apt,2,2,3,37.79440261123537,-122.42985415094115,5.0,339,0.18,30,90,250-299
21966303,104.0,Mission,Entire rental unit,Entire home/apt,0,1,2,37.75223,-122.42439,4.86,153,0.21,30,150,100-149
53801623,202.0,Mission,Entire condo,Entire home/apt,3,1,8,37.76196,-122.41779,4.74,40,1.46,1,365,200-249
40057418,55.0,Outer Sunset,Private room in rental unit,Private room,1,1,4,37.76486,-122.47757,4.75,365,1.26,30,1125,50-99
782137715145413908,130.0,Potrero Hill,Entire rental unit,Entire home/apt,1,1,2,37.75925998980176,-122.38950747996569,5.0,357,0.91,30,365,100-149
